control_number,announcement_number,position_title,hiring_agency_name,hiring_department_name,job_series,minimum_grade,maximum_grade,position_open_date,position_close_date,minimum_salary,maximum_salary,work_schedule,telework_eligible,supervisory_status
758385000,NEAD236969870207,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-11-01,2023-11-15,120849.0,183500.0,Full-time,N,Y
757769000,NEAD236885567720,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-10-30,2023-11-13,127722.0,183500.0,Full-time,N,Y
755873000,MCAD236870613936,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-10-20,2023-10-26,116393.0,177978.0,Full-time,N,Y
755776900,TMCO - OCAO-24-12175816,Supervisory IT Product Manager,Patent and Trademark Office,Department of Commerce,0301,15,15,2023-10-19,2023-11-01,155700.0,183500.0,Full-time,N,Y
755207700,MCAD236819624741,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-10-18,2023-10-24,116393.0,164288.0,Full-time,N,Y
755387300,101-EDU-12171433-24-KB,Management and Program Analyst (Product Owner's Requirement),Veterans Benefits Administration,Department of Veterans Affairs,0343,11,13,2023-10-18,2023-10-24,59319.0,109908.0,Full-time,N,N
753886400,NEAD236767828885,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-10-12,2023-10-26,120849.0,183500.0,Full-time,N,Y
753917400,NEAD236775288262,ASSISTANT PRODUCT MANAGER,U.S. Army Acquisition Support Center,Department of the Army,0301,3,3,2023-10-11,2023-10-25,86001.0,132945.0,Full-time,N,N
751744500,23-FS-873-MPA,Supervisory Product Owner,Bureau of the Fiscal Service,Department of the Treasury,0301,15,15,2023-09-28,2023-10-04,136908.0,183500.0,Full-time,N,Y
750735700,23-FS-877-MPA,Business Systems Analyst (Product Owner),Bureau of the Fiscal Service,Department of the Treasury,0501,13,13,2023-09-25,2023-10-03,98496.0,145617.0,Full-time,N,N
750566100,NEAD236372198038HQ,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-09-22,2023-10-02,120849.0,183500.0,Full-time,N,Y
748127800,23-FS-857-MPA,Senior Business Systems Analyst (Product Manager),Bureau of the Fiscal Service,Department of the Treasury,0501,14,14,2023-09-11,2023-09-15,116393.0,172075.0,Full-time,N,Y
747238200,NEAD235507575478HP,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-09-06,2023-09-15,132368.0,183500.0,Full-time,N,Y
744704300,20230498,Product Manager,National Geospatial-Intelligence Agency,Department of Defense,2210,03,03,2023-08-28,2023-09-03,70649.0,145617.0,Full-time,N,N
745670200,SH-12102618,Business Product Manager,Social Security Administration,Other Agencies and Independent Organizations,0301,14,14,2023-08-28,2023-09-01,132368.0,172075.0,Full-time,N,N
745821800,CBZY-12106442-23-AF,General Engineer (Architect/Data Scientist/Product Manager),Veterans Health Administration,Department of Veterans Affairs,0801,14,14,2023-08-28,2023-09-04,116393.0,151308.0,Full-time,N,N
745360700,VAR002556,Supervisory Product Manager,Library of Congress,Legislative Branch,0301,14,14,2023-08-24,2023-09-11,132368.0,172075.0,Full-time,N,Y
744720200,OS-6020-23-AW-178(DEU),Program Analyst (Product Owner Support Lead),Office of the Secretary of the Interior,Department of the Interior,0343,14,14,2023-08-23,2023-09-06,132368.0,172075.0,Full-time,N,Y
744556900,DESTIMP-12074509-23-AZ,Supervisory IT Specialist (Product Owner),Federal Bureau of Investigation,Department of Justice,2210,14,14,2023-08-21,2023-09-01,132368.0,172075.0,Full-time,N,Y
743459800,NEAD235002347934HW,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-08-16,2023-08-21,132368.0,183500.0,Full-time,N,Y
743823000,NEAD235138493911,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-08-16,2023-08-31,120849.0,183500.0,Full-time,N,Y
740652300,23-DAS-12072630,Information Technology Specialist (Product Manager),Administrative Office of the U.S. Courts,Judicial Branch,2210,00,00,2023-08-08,2023-08-22,94199.0,176555.0,Full-time,N,N
741225200,SH12075878,Business Product Manager,Social Security Administration,Other Agencies and Independent Organizations,0301,14,14,2023-08-07,2023-08-11,132368.0,172075.0,Full-time,N,N
741522000,TMCO-PTAB-23-12055497-IMP,Information Technology Product Management Specialist,Patent and Trademark Office,Department of Commerce,0301,12,13,2023-08-04,2023-08-18,94199.0,145617.0,Full-time,N,N
738786100,WMD-23-17-12056455-DT,IT Specialist (Product Manager),Patent and Trademark Office,Department of Commerce,0301,14,14,2023-07-24,2023-08-07,0.0,0.0,Full-time,N,N
737502300,23-EE-01619-12042059-MP,Business Analyst (Product Owner),Other Agencies and Independent Organizations,Department of Energy,0301,12,13,2023-07-17,2023-07-28,91753.0,145617.0,Full-time,N,N
736772000,NEAD234104269134,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-07-12,2023-07-27,132368.0,172075.0,Full-time,N,Y
735470000,NEAD234083316502,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-07-06,2023-07-19,120849.0,183500.0,Full-time,N,Y
734240700,23-FS-696-MPA,Supervisory Product Owner,Bureau of the Fiscal Service,Department of the Treasury,0301,15,15,2023-06-29,2023-07-06,136908.0,183500.0,Full-time,N,Y
731103700,NEAD233626594118HQ,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-06-12,2023-06-26,120849.0,183500.0,Full-time,N,Y
730464900,23-EE-01599-11994871-MP,Business Analyst (Product Manager),Other Agencies and Independent Organizations,Department of Energy,0301,14,14,2023-06-08,2023-06-21,128931.0,172075.0,Full-time,N,N
730113400,23-DO-663,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2023-06-06,2023-06-21,98458.0,183307.0,Full-time,N,N
730118500,23-DO-664-P,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2023-06-06,2023-06-21,98458.0,183307.0,Full-time,N,N
729289900,NEAD233313212553,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-06-02,2023-06-12,132368.0,183500.0,Full-time,N,Y
728916300,VAR002401,"Deputy Director, Product Management Division",Library of Congress,Legislative Branch,0301,15,15,2023-06-01,2023-06-15,155700.0,183500.0,Full-time,N,Y
729159200,23-BPA-35002-11984749-BPA,Public Utilities Specialist (Systems Product Owner),Bonneville Power Administration,Department of Energy,1130,14,14,2023-06-01,2023-06-16,124865.0,162322.0,Full-time,N,N
728395500,MS-23-BOS-WHD-11982517-SC,"Director, Division of Business Transformation and Product Management",Wage and Hour Division,Department of Labor,0301,15,15,2023-05-31,2023-06-13,117518.0,152771.0,Full-time,N,Y
728775500,23-TAL-11972135-DE,Electronic Official Personnel Folder (eOPF) Product Manager,Office of Personnel Management,Other Agencies and Independent Organizations,0301,14,14,2023-05-31,2023-06-13,132368.0,175192.0,Full-time,N,Y
727779900,23-MP-11973350-WLJ,PRODUCT OWNER,Securities and Exchange Commission,Other Agencies and Independent Organizations,0301,14,14,2023-05-25,2023-06-08,140830.0,238592.0,Full-time,N,N
727780100,23-DE-11973349-WLJ,PRODUCT OWNER,Securities and Exchange Commission,Other Agencies and Independent Organizations,0301,14,14,2023-05-25,2023-06-08,140830.0,238592.0,Full-time,N,N
727816300,NEAD233274732162,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-05-25,2023-05-31,128252.0,183500.0,Full-time,N,Y
727907300,NEAD233262983432HQ,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-05-25,2023-06-07,120849.0,183500.0,Full-time,N,Y
726619900,NEAD233032415912HQ,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-05-19,2023-05-25,132368.0,183500.0,Full-time,N,Y
726443200,req135,Product Owner #5435,Senate,Legislative Branch,2210,09,09,2023-05-17,2023-06-01,90159.0,135232.0,Full-time,N,N
724672600,NEAD233040489367HQ,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-05-10,2023-05-23,120849.0,183500.0,Full-time,N,Y
724595100,CGA-DE-11937880-23-SD,IT Product Manager,Office of Personnel Management,Other Agencies and Independent Organizations,2210,13,13,2023-05-09,2023-05-16,98496.0,158432.0,Full-time,N,N
723226300,NEAD232676837888HV,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-05-04,2023-05-11,132368.0,183500.0,Full-time,N,Y
723665400,NEAD232696897094,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-05-04,2023-05-10,132368.0,183500.0,Full-time,N,Y
721030200,NEAD232607627579,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-04-20,2023-05-04,120849.0,183500.0,Full-time,N,Y
718205700,23-BEP-164-A,Program Manager (Currency Product Manager),Bureau of Engraving and Printing,Department of the Treasury,0340,14,14,2023-04-12,2023-05-02,126254.0,172075.0,Full-time,N,N
716874200,23-CFPB-158-P,Technical Product Manager,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,2210,53,53,2023-04-04,2023-04-12,94637.0,197615.0,Full-time,N,N
716874400,23-CFPB-157-MP,Technical Product Manager,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,2210,53,53,2023-04-04,2023-04-12,94637.0,197615.0,Full-time,N,N
715559700,NEAD232293529228,Assistant Product Manager,U.S. Army Acquisition Support Center,Department of the Army,0301,3,3,2023-03-27,2023-04-13,86001.0,132945.0,Full-time,N,N
714741400,NEAD232135817747,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-03-23,2023-03-27,116393.0,177978.0,Full-time,N,Y
714385900,101-LGY-11887368-23-MWM,Management & Program Analyst (Product Owner),Veterans Benefits Administration,Department of Veterans Affairs,0343,14,14,2023-03-22,2023-03-29,132368.0,172075.0,Full-time,N,N
709668800,req1902,HouseNet Product Manager,House of Representatives,Legislative Branch,2210,11,13,2023-03-21,2023-04-10,127844.0,161525.0,Full-time,N,N
732203000,req1902,HouseNet Product Manager,House of Representatives,Legislative Branch,2210,11,13,2023-03-21,2023-04-10,127844.0,161525.0,Full-time,N,N
732215500,req1902,HouseNet Product Manager,House of Representatives,Legislative Branch,2210,11,13,2023-03-21,2023-04-10,127844.0,161525.0,Full-time,N,N
712943600,23FASB200TBMP,Product Owner,Federal Acquisition Service,General Services Administration,0301,12,12,2023-03-15,2023-03-29,82830.0,133236.0,Full-time,N,N
710245700,23-EE-01478-11850916-DE,Business Analyst (Product Manager),Other Agencies and Independent Organizations,Department of Energy,0301,14,14,2023-03-07,2023-03-20,128931.0,172075.0,Full-time,N,N
710407200,MCC-11857327-32-DAF-DE,"Associate Director (Product Management), MC-2210-3b",Millennium Challenge Corporation,Other Agencies and Independent Organizations,2210,14,14,2023-03-03,2023-03-17,115000.0,180040.0,Full-time,N,N
710609500,NEAD232022087910HQ,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-03-03,2023-03-16,120849.0,183500.0,Full-time,N,Y
709450200,NEBB231984473216HW,Health Science Product Manager,United States Army Futures Command,Department of the Army,0601,3,3,2023-03-01,2023-03-14,112015.0,172075.0,Full-time,N,N
709526700,NEAD231745621677,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-03-01,2023-03-07,116393.0,177978.0,Full-time,N,Y
709544800,NEAD2318053527512,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-03-01,2023-03-07,128252.0,183500.0,Full-time,N,Y
708420200,NEAD231731918378,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-02-24,2023-03-03,132368.0,183500.0,Full-time,N,Y
708586400,VAR002231,Supervisory Product Manager,Library of Congress,Legislative Branch,0301,14,14,2023-02-23,2023-04-03,132368.0,172075.0,Full-time,N,Y
708633700,23FASB168TJMP,Product Owner,Federal Acquisition Service,General Services Administration,0301,13,13,2023-02-23,2023-03-02,98496.0,158432.0,Full-time,N,N
707973600,NEAD233333331907,Acquisition Key Billet Product Manager or Acquisition Director,U.S. Army Acquisition Support Center,Department of the Army,0340,14,14,2023-02-22,2023-04-20,99908.0,129878.0,Full-time,N,Y
707926600,req1889,Product Manager,House of Representatives,Legislative Branch,2210,13,13,2023-02-21,2023-03-15,161525.0,173860.0,Full-time,N,N
706870700,NEAD231728604520HQ,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-02-17,2023-02-23,132368.0,183500.0,Full-time,N,Y
706795700,23-120-PEW-MP,Management and Program Analyst (Product Owner),Office of Personnel Management,Other Agencies and Independent Organizations,0343,13,13,2023-02-15,2023-03-01,94373.0,150703.0,Full-time,N,N
706442600,23FASB156TJMP,Product Manager,Federal Acquisition Service,General Services Administration,0301,14,14,2023-02-14,2023-02-24,116393.0,183500.0,Full-time,N,N
706713500,2023-HQ-B0073,"Product Manager, CG-0301-14",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,0301,14,14,2023-02-14,2023-02-24,145188.0,235067.0,Full-time,N,N
704975400,23FASB168TJMP,Product Owner,Federal Acquisition Service,General Services Administration,0301,13,13,2023-02-07,2023-02-21,98496.0,158432.0,Full-time,N,N
704072400,NEAD231445175991HW,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-02-06,2023-02-08,116393.0,177978.0,Full-time,N,Y
704204200,NEAD231260474817HQ,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-02-03,2023-02-09,132368.0,183500.0,Full-time,N,Y
703435100,NEAD231440773636,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-02-01,2023-02-07,128252.0,183500.0,Full-time,N,Y
702407900,NEAD231316464381,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),Army Tank-Automotive and Armament Command (TACOM),Department of the Army,0340,4,4,2023-01-30,2023-02-03,128252.0,183500.0,Full-time,N,Y
701565300,NEAD231262419278HW,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-01-24,2023-01-30,132368.0,183500.0,Full-time,N,Y
701614000,FDA-CDRH-23-MP-11775544LL,Business Product Manager,Food and Drug Administration,Department of Health and Human Services,0301,14,14,2023-01-24,2023-02-06,99908.0,129878.0,Full-time,N,N
701398100,20230122,Product Manager,National Geospatial-Intelligence Agency,Department of Defense,2210,03,03,2023-01-23,2023-02-04,78592.0,145617.0,Full-time,N,N
701112900,NEAD231284916852HQ,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-01-20,2023-02-02,120849.0,183500.0,Full-time,N,Y
699915300,ST-11773961-23-SBR,SUPERVISORY PROGRAM MANAGER (PRODUCT MANAGER),U.S. Marine Corps,Department of the Navy,0340,4,4,2023-01-17,2023-01-19,99908.0,152771.0,Full-time,N,Y
699837900,SH-11794613,Business Product Manager,Social Security Administration,Other Agencies and Independent Organizations,0301,14,14,2023-01-16,2023-01-27,132368.0,172075.0,Full-time,N,N
698732000,23-CFPB-101-P,Small Business Lending Data Collection Business Product Lead,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,0301,60,60,2023-01-13,2023-01-27,99465.0,249015.0,Full-time,N,N
697025200,ST-11760599-23-CG,Product Manager,Committee for Purchase from People Who Are Blind or Severely Disabled,Other Agencies and Independent Organizations,0301,14,14,2022-12-29,2023-01-19,99908.0,129878.0,Full-time,N,N
691433500,NEAD220496171177,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-11-28,2022-12-11,115599.0,176300.0,Full-time,N,N
690822800,23-035-DJL-MP,DSMM Product Manager,Office of Personnel Management,Other Agencies and Independent Organizations,0301,14,14,2022-11-25,2022-12-08,111521.0,176300.0,Full-time,N,Y
690823100,23-035-DJL-DE,DSMM Product Manager,Office of Personnel Management,Other Agencies and Independent Organizations,0301,14,14,2022-11-25,2022-12-08,111521.0,176300.0,Full-time,N,Y
690658300,NEAD220325037853HW,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-11-22,2022-11-28,126233.0,176300.0,Full-time,N,Y
690304800,23-034-TAL-MP,Electronic Official Personnel Folder (eOPF) Product Manager,Office of Personnel Management,Other Agencies and Independent Organizations,0301,14,14,2022-11-18,2022-12-05,111521.0,164102.0,Full-time,N,Y
690305200,23-034-TAL-DE,Electronic Official Personnel Folder (eOPF) Product Manager,Office of Personnel Management,Other Agencies and Independent Organizations,0301,14,14,2022-11-18,2022-12-05,111521.0,164102.0,Full-time,N,Y
689449300,NEAD220325037088HW,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-11-16,2022-11-21,126233.0,176300.0,Full-time,N,N
687987900,NEAD220269377526,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-11-08,2022-11-22,115599.0,176300.0,Full-time,N,Y
687427100,SH-11708808,Business Product Manager,Social Security Administration,Other Agencies and Independent Organizations,0301,13,13,2022-11-07,2022-11-18,94373.0,122683.0,Full-time,N,N
685490300,23FASB009AVMP,Product Owner,Federal Acquisition Service,General Services Administration,0301,13,13,2022-10-26,2022-11-08,81216.0,105579.0,Full-time,N,N
685585400,23-11689995P-OSB-0301-15,Product Development Specialist (Product Manager),Internal Revenue Service,Department of the Treasury,0301,15,15,2022-10-26,2022-11-08,146859.0,176300.0,Full-time,N,N
685612600,23-11689996P-OSX-0301-15,Product Development Specialist (Product Manager),Internal Revenue Service,Department of the Treasury,0301,15,15,2022-10-26,2022-11-08,146859.0,176300.0,Full-time,N,N
681255000,NEAD229740495854,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-10-06,2022-10-14,126233.0,176300.0,Full-time,N,Y
681601700,NEAD9757894375,ASSISTANT PRODUCT MANAGER-0301,U.S. Army Acquisition Support Center,Department of the Army,0301,3,3,2022-10-05,2022-10-17,82266.0,127170.0,Full-time,N,N
681329300,NEAD229658932560,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-10-04,2022-10-18,115599.0,176300.0,Full-time,N,Y
681476200,22-11671430-KL,IT Specialist (Product Manager),Peace Corps,Other Agencies and Independent Organizations,2210,4,4,2022-10-04,2022-10-18,60061.0,88202.0,Full-time,N,N
681478000,22-11671431-KL,IT Specialist (Product Manager),Peace Corps,Other Agencies and Independent Organizations,2210,4,4,2022-10-04,2022-10-18,60061.0,88202.0,Full-time,N,N
680732800,VAR002126,Product Manager,Library of Congress,Legislative Branch,0301,14,14,2022-09-30,2022-11-14,126233.0,164102.0,Full-time,N,N
677607300,22-CFPB-356-MPA,Supervisory IT Specialist (Product Management Lead),Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,2210,60,60,2022-09-15,2022-09-26,99178.0,246558.0,Full-time,N,Y
675738800,SMEQA-11557170-22-LC,(Senior) Product Manager,Cybersecurity and Infrastructure Security Agency,Department of Homeland Security,2210,14,15,2022-09-07,2022-11-16,111521.0,176300.0,Full-time,N,N
675788400,NEAD228964244151,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-09-07,2022-09-21,115599.0,176300.0,Full-time,N,Y
675161100,22-CFPB-337-P,Small Business Lending Data Collection Business Product Lead,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,0301,60,60,2022-09-02,2022-09-16,99178.0,246558.0,Full-time,N,N
674887400,NC7X228834294722HW,Lead Information Technology Asset and Product Manager,Department of Defense Education Activity,Department of Defense,0301,13,13,2022-09-01,2022-09-12,94373.0,129472.0,Full-time,N,N
673165400,NEAD228301643545,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-08-23,2022-09-06,126233.0,176300.0,Full-time,N,Y
671384400,22FASB468TJMP,Product Manager,Federal Acquisition Service,General Services Administration,0301,14,14,2022-08-16,2022-08-30,111521.0,144976.0,Full-time,N,N
671493700,22-285-JDM-MP,Interconnections Product Manager,Office of Personnel Management,Other Agencies and Independent Organizations,0343,13,13,2022-08-16,2022-08-29,94373.0,150703.0,Full-time,N,N
671435400,58391,Innovation Product Lead NF4,U.S. Marine Corps,Department of the Navy,1101,04,04,2022-08-15,2022-09-12,85000.0,100000.0,Full-time,N,N
670168000,CMS-OIT-22-11601233-IMP,Product Management Specialist,Centers for Medicare & Medicaid Services,Department of Health and Human Services,0301,14,14,2022-08-09,2022-08-13,95973.0,124764.0,Full-time,N,N
670171600,NEAD228069778577,Assistant Product Manager,U.S. Army Acquisition Support Center,Department of the Army,0340,3,3,2022-08-09,2022-08-19,92245.0,142595.0,Full-time,N,N
668055600,SH-11582710,Business Product Manager,Social Security Administration,Other Agencies and Independent Organizations,0301,14,14,2022-08-01,2022-08-12,111521.0,144976.0,Full-time,N,N
668182800,CMS-OIT-22-11584467-IMP,Product Management Specialist,Centers for Medicare & Medicaid Services,Department of Health and Human Services,0301,14,14,2022-07-29,2022-08-03,126233.0,164102.0,Full-time,N,N
667862300,NEAD227675296940HQ,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-07-28,2022-08-04,126233.0,176300.0,Full-time,N,Y
667784600,NEAD228069778891,Assistant Product Manager,U.S. Army Acquisition Support Center,Department of the Army,0340,3,3,2022-07-27,2022-08-02,92245.0,142595.0,Full-time,N,N
666708100,NEAD227538558727,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-07-21,2022-07-25,126233.0,176300.0,Full-time,N,Y
666733600,NEAD228088301364,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-07-21,2022-08-03,115599.0,176300.0,Full-time,N,Y
666509300,22-11553408-EP,"Expert, VIDA Product Owner",Peace Corps,Other Agencies and Independent Organizations,0301,00,00,2022-07-20,2022-08-02,35.52,52.16,Full-time,N,N
664929300,NEAD22753496677HW,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-07-12,2022-07-22,126233.0,176300.0,Full-time,N,Y
664173900,NEAD227538559784,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-07-08,2022-07-13,126233.0,176300.0,Full-time,N,Y
663613800,NEAD227691495523,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-07-06,2022-07-12,122711.0,176300.0,Full-time,N,Y
662339200,NEAD227522597360,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-06-27,2022-07-11,115599.0,176300.0,Full-time,N,Y
660741600,20221080,Product Manager,National Geospatial-Intelligence Agency,Department of Defense,2210,03,03,2022-06-20,2022-07-16,67386.0,138868.0,Full-time,N,N
660054800,NEAD227325457230HQ,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-06-17,2022-06-27,126233.0,176300.0,Full-time,N,Y
660708800,ST-11534402-22-ALH,SUPERVISORY PROGRAM MANAGER (PRODUCT MANAGER),U.S. Marine Corps,Department of the Navy,0340,4,4,2022-06-17,2022-06-21,126233.0,176300.0,Full-time,N,Y
660502700,MCC-11535389-67-DAF-MP,"Associate Director (Product Management), MC-2210-3b",Millennium Challenge Corporation,Other Agencies and Independent Organizations,2210,14,14,2022-06-16,2022-07-01,102700.0,171700.0,Full-time,N,N
660504700,MCC-11539824-69-DAF-DE,"Associate Director (Product Management), MC-2210-3B",Millennium Challenge Corporation,Other Agencies and Independent Organizations,2210,14,14,2022-06-16,2022-07-01,102700.0,171700.0,Full-time,N,N
660065300,NEAD227317444815,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-06-15,2022-06-28,111521.0,157414.0,Full-time,N,Y
659373200,20221071,Product Manager,National Geospatial-Intelligence Agency,Department of Defense,2210,04,04,2022-06-13,2022-07-09,96119.0,164102.0,Full-time,N,N
659209300,CMS-OIT-22-11526532-DE,Product Manager,Centers for Medicare & Medicaid Services,Department of Health and Human Services,0301,13,13,2022-06-10,2022-06-19,106823.0,138868.0,Full-time,N,N
659149600,FDA-CDRH-22-MP-11517653-LL,Business Product Manager,Food and Drug Administration,Department of Health and Human Services,0301,14,14,2022-06-09,2022-06-23,126233.0,164102.0,Full-time,N,N
658469700,22-CFPB-275-MPA,Strategic Operations and Product Management Advisor,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,0301,60,60,2022-06-07,2022-06-15,117876.0,214923.0,Full-time,N,N
657524100,22-235-DMM-DE,Digital Services Expert (Product Manager),Office of Personnel Management,Other Agencies and Independent Organizations,0301,14,14,2022-06-02,2022-06-15,111521.0,144976.0,Full-time,N,N
657275800,ST-11514792-22-ALH,SUPERVISOR PROGRAM MANAGER (PRODUCT MANAGER),U.S. Marine Corps,Department of the Navy,0340,4,4,2022-05-31,2022-06-02,111521.0,170532.0,Full-time,N,Y
655223900,NEAD226936395622,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2022-05-24,2022-05-31,126233.0,176300.0,Full-time,N,Y
656014000,22-CFPB-252-P,Senior Product Management Specialist,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,0301,60,60,2022-05-23,2022-06-06,117876.0,214923.0,Full-time,N,N
656036000,22-CFPB-251-MP-R,Senior Product Management Specialist,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,0301,60,60,2022-05-23,2022-06-06,117876.0,214923.0,Full-time,N,N
655576500,22-CFPB-251-MP,Senior Product Management Specialist,Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,0301,60,60,2022-05-19,2022-06-02,117876.0,214923.0,Full-time,N,N
