service_type,position_location,occupation_series,occupation_name,grade_code,low_grade,high_grade,usajobs_control_number,position_title,hiring_agency,position_open_date,position_close_date,occupation_full,grade_level
Excepted,"Gainesville, Florida",0602,Medical Officer,VM-00,00,00,841511500,Physician (Gastroenterology),Department of Veterans Affairs,2025-07-23 00:00:00.000,2025-12-31T23:59:59.9970,0602 - Medical Officer,VM-00
Excepted,"Kent, Ohio",0602,Medical Officer,GS-15,15,15,841550200,Physician (Diagnostic Radiology),Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-18T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Savannah, Georgia",0602,Medical Officer,VM-15,15,15,841560400,OCA-FY25-PHYSICIAN-RADIOLOGIC-DIAGNOSTIC,Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Clarksburg, West Virginia",0602,Medical Officer,VM-15,15,15,841563600,Physician (Regular Ft) Hospitalist,Department of Veterans Affairs,2025-07-25 00:00:00.000,2026-07-24T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Fort Meade, South Dakota",0602,Medical Officer,VM-15,15,15,841566000,Physician - Radiologist,Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Fresno, California",0602,Medical Officer,VM-15,15,15,841574500,Physician - Psychiatrist,Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"San Francisco, California",0602,Medical Officer,VM-15,15,15,841596900,Physician (Psychiatry),Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Charleston, South Carolina",0602,Medical Officer,VM-15,15,15,841606800,Physician-(Psychiatrist),Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Mather AFB, California",0602,Medical Officer,VM-15,15,15,841613700,"Physician - Chief, Physical Medicine and Rehabilitation (Mather)",Department of Veterans Affairs,2025-07-11 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"McClellan, California",0602,Medical Officer,VM-15,15,15,841624200,"Physician - Chief, Compensation & Pension (McClellan)",Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"West Roxbury, Massachusetts",0602,Medical Officer,VM-15,15,15,841634700,Physician - Pathologist,Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Albuquerque, New Mexico",0602,Medical Officer,VM-15,15,15,841675500,Physician (Gastroenterology),Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-10-27T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Albuquerque, New Mexico",0602,Medical Officer,VM-15,15,15,841676800,Physician (Sleep Medicine),Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-10-27T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Iowa City, Iowa",0602,Medical Officer,VM-15,15,15,841678500,Physician (Radiology-Diagnostic),Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Iowa City, Iowa",0602,Medical Officer,VM-15,15,15,841687000,Physician (Chief of Specialty Medicine),Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Washington, District of Columbia",0602,Medical Officer,VM-15,15,15,841688800,Physician (Regular Ft) Radiologist,Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-09-23T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Phoenix, Arizona",0602,Medical Officer,VM-15,15,15,841689500,Anesthesiologist,Department of Veterans Affairs,2025-07-24 00:00:00.000,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Washington, District of Columbia",0602,Medical Officer,VM-15,15,15,841690200,Physician (Regular Ft) Radiologist,Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-09-23T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Cheyenne, Wyoming",0602,Medical Officer,VM-15,15,15,841697700,Physician - Associate Chief of Staff (ACOS) Medicine Service,Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-09-25T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Marion, Illinois",0602,Medical Officer,VM-15,15,15,841723700,Physician - Chief Health Informatics Officer (CHIO),Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Albuquerque, New Mexico",0602,Medical Officer,VM-15,15,15,841725500,Physician (Hospitalist),Department of Veterans Affairs,2025-07-25 00:00:00.000,2025-10-27T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Bronx, New York",0602,Medical Officer,VM-15,15,15,841751000,Physician (Physical Medicine and Rehabilitation),Department of Veterans Affairs,2025-07-26 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Fort Stewart, Georgia",0602,Medical Officer,GP-14,14,14,841772300,Supervisory Physician (Family Practice),Department of Defense,2025-07-29 00:00:00.000,2025-12-31T23:59:59.9970,0602 - Medical Officer,GP-14
Excepted,"Reno, Nevada",0602,Medical Officer,VM-15,15,15,841784400,Physician - Compensation & Pension,Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Cincinnati, Ohio",0602,Medical Officer,VM-15,15,15,841784500,Physician (Rheumatology),Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-12-31T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Cincinnati, Ohio",0602,Medical Officer,VM-15,15,15,841787600,Physician (Orthopedic Surgeon),Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-12-31T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Miami, Florida",0602,Medical Officer,VM-00,00,00,841804600,Physician (Anesthesiology),Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-24T23:59:59.9970,0602 - Medical Officer,VM-00
Excepted,"Fredericksburg, Virginia",0602,Medical Officer,VM-15,15,15,841813700,Physician - Psychiatrist,Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Cincinnati, Ohio",0602,Medical Officer,VM-15,15,15,841831300,Physician (Otolaryngology),Department of Veterans Affairs,2025-07-28 16:08:22.677,2025-12-31T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Reno, Nevada",0602,Medical Officer,VM-15,15,15,841848900,Physician (Radiologist),Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Mather AFB, California",0602,Medical Officer,VM-15,15,15,841850900,Physician - Orthopedic - Arthroplasty,Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Mather AFB, California",0602,Medical Officer,VM-15,15,15,841851000,Physician - Orthopedic,Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Redding, California",0602,Medical Officer,AD-15,15,15,841852000,Physician - Intermittent Orthopedic Surgeon,Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-29T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Little Rock, Arkansas",0602,Medical Officer,VM-15,15,15,841870100,Physician (Cardiac Electrophysiologist),Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Little Rock, Arkansas",0602,Medical Officer,VM-15,15,15,841880300,Physician - Primary Care,Department of Veterans Affairs,2025-07-28 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"West Roxbury, Massachusetts",0602,Medical Officer,VM-15,15,15,841886900,Physician - Urologist,Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Tomah, Wisconsin",0602,Medical Officer,VM-15,15,15,841900000,Physician - Primary Care - Recruitment/Relocation Incentives,Department of Veterans Affairs,2025-09-05 12:48:22.393,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Shreveport, Louisiana",0602,Medical Officer,VM-15,15,15,841907300,Physician (Pulmonary /Critical Care),Department of Veterans Affairs,2025-07-29 12:17:38.843,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Roseburg, Oregon",0602,Medical Officer,VM-00,00,00,841912800,Physician (ACOS-Medical Specialties Services),Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-00
Excepted,"Palo Alto, California",0602,Medical Officer,VM-15,15,15,841932500,Physician - Diagnostic Neuroradiologist,Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Rosebud, South Dakota",0602,Medical Officer,GS-15,15,15,841942300,Physician (Hospitalist),Department of Health and Human Services,2025-07-29 00:00:00.000,2025-09-17T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Jackson, Mississippi",0602,Medical Officer,VM-15,15,15,841951100,Physician - Pain Management,Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Belcourt, North Dakota",0602,Medical Officer,GP-14/15,14,15,841952900,Physician (Emergency Medicine),Department of Health and Human Services,2025-07-29 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GP-14/15
Excepted,"Marshfield, Missouri",0602,Medical Officer,VM-15,15,15,841953700,Primary Care Physician (Marshfield),Department of Veterans Affairs,2025-07-29 16:11:21.387,2026-07-16T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Mankato, Minnesota",0602,Medical Officer,VM-15,15,15,841957900,Supervisory Physician - Mankato VA Clinic,Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Stockton, California",0602,Medical Officer,AD-15,15,15,841959000,Physician - Part Time (20 hours/Week) Vascular Surgeon,Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Little Rock, Arkansas",0602,Medical Officer,VM-15,15,15,841961600,Physician (Gastroenterologist),Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Rice Lake, Wisconsin",0602,Medical Officer,VM-15,15,15,841982300,Primary Care Physician - Rice Lake VA Clinic - Recruitment Incentive Authorized,Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Daytona Beach, Florida",0602,Medical Officer,VM-00,00,00,841995600,Physician (Emergency Medicine),Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-12-31T23:59:59.9970,0602 - Medical Officer,VM-00
Excepted,"Beckley, West Virginia",0602,Medical Officer,VM-15,15,15,842023200,Physician (Regular Ft) Geriatrics and Extended Care (GEC),Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Chico, California",0602,Medical Officer,VM-15,15,15,842028000,Physician - Home Based Primary Care - Chico,Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Fayetteville, Arkansas",0602,Medical Officer,VM-15,15,15,842036600,Physician (Chief of Staff),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Portland, Oregon",0602,Medical Officer,AD-15,15,15,842038700,Physician (Diagnostic Radiologist),Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Loveland, Colorado",0602,Medical Officer,VM-15,15,15,842059700,Physician - Radiology Diagnostic (Section Chief),Department of Veterans Affairs,2025-07-30 14:41:44.920,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Albuquerque, New Mexico",0602,Medical Officer,VM-15,15,15,842075700,Physician (Infectious Diseases),Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-10-30T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Rosebud, South Dakota",0602,Medical Officer,GS-15,15,15,842079900,Physician - FP-IM-IM/PEDS-General Surgery,Department of Health and Human Services,2025-07-30 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Competitive,"Red Lake, Minnesota",0602,Medical Officer,GS-15,15,15,842084500,Supervisory Physician (Psychiatry),Department of Health and Human Services,2025-08-01 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Mather AFB, California",0602,Medical Officer,VM-15,15,15,842090800,Physician - Gynecology,Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Spokane, Washington",0602,Medical Officer,VM-15,15,15,842094200,Physician (Primary Care),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-22T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Kayenta, Arizona",0602,Medical Officer,GS-15,15,15,842095000,Supervisory Physician (Administration) - ESEP/MP,Department of Health and Human Services,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Chico, California",0602,Medical Officer,AD-15,15,15,842134500,Physician - Orthopedic,Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Biloxi, Mississippi",0602,Medical Officer,VM-15,15,15,842137700,Physician (Neurologist),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Pittsburgh, Pennsylvania",0602,Medical Officer,VM-00,00,00,842139400,Physician - Dermatologist,Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-00
Excepted,"Houston, Texas",0602,Medical Officer,VM-15,15,15,842141300,Physician (Hematologist/Oncologist),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Fayetteville, Arkansas",0602,Medical Officer,VM-15,15,15,842147100,Physician (Neurologist),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Stockton, California",0602,Medical Officer,AD-15,15,15,842149900,Physician - Part-Time Gynecologist (8 Hours Per Week),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Salisbury, North Carolina",0602,Medical Officer,VM-15,15,15,842167100,Psychiatrist (TeleMental Health Hub),Department of Veterans Affairs,2025-07-30 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Salisbury, North Carolina",0602,Medical Officer,VM-15,15,15,842181500,"Physician, Chief of Staff",Department of Veterans Affairs,2025-07-31 14:43:20.227,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"West Roxbury, Massachusetts",0602,Medical Officer,VM-15,15,15,842187000,Physician - Pathologist,Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Dallas, Texas",0602,Medical Officer,VM-15,15,15,842188600,"Physician (Psychiatrist)- Medical Director, PCMHI - EDRP and Recruitment/Relocation May be Available",Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-11-07T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Fayetteville, Arkansas",0602,Medical Officer,VM-15,15,15,842193300,Physician-Otolaryngology,Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Bath, New York",0602,Medical Officer,VM-00,00,00,842196700,Physician (Primary Care),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-00
Excepted,"Billings, Montana",0602,Medical Officer,VM-15,15,15,842197700,Anesthesiologist (Physician),Department of Veterans Affairs,2025-07-31 15:57:04.247,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Charleston, South Carolina",0602,Medical Officer,VM-15,15,15,842204800,Physician (Deputy Chief Cardiology),Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Green Bay, Wisconsin",0602,Medical Officer,GS-15,15,15,842212800,Physician (Dermatologist),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Green Bay, Wisconsin",0602,Medical Officer,GS-15,15,15,842213700,Physician-Orthopedic Surgeon,Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Green Bay, Wisconsin",0602,Medical Officer,GS-15,15,15,842214000,Physician (Cardiology),Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"San Francisco, California",0602,Medical Officer,VM-15,15,15,842245700,Physician (Diagnostic Radiology Radiologist),Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Wilmington, Delaware",0602,Medical Officer,VM-00/15,00,15,842247100,Physician (Ophthalmologist),Department of Veterans Affairs,2025-07-31 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-00/15
Excepted,"Gardnerville, Nevada",0602,Medical Officer,VM-15,15,15,842252600,Physician - Primary Care,Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Manchester, New Hampshire",0602,Medical Officer,AD-15,15,15,842255600,Physician (Otolaryngologist) / Part time / EDRP authorized,Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-25T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Richmond, Virginia",0602,Medical Officer,VM-15,15,15,842256400,Physician - Medical Director of Inpatient Psychiatry,Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Bonham, Texas",0602,Medical Officer,VM-15,15,15,842265700,Physician (Primary Care-NTX Facilities) with Recruitment/Relocation Incentive/EDRP,Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-11-28T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Castle Point, New York",0602,Medical Officer,VM-15,15,15,842266700,Physician- Lead Psychiatrist,Department of Veterans Affairs,2025-07-29 00:00:00.000,2025-09-25T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Hinesville, Georgia",0602,Medical Officer,VM-15,15,15,842276200,Primary Care - Physician,Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Pine Ridge, South Dakota",0602,Medical Officer,GS-15,15,15,842289300,Supervisory Physician (Clinical Director),Department of Health and Human Services,2025-08-01 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Competitive,"Pine Ridge, South Dakota",0602,Medical Officer,GS-15,15,15,842289400,Supervisory Physician (Clinical Director),Department of Health and Human Services,2025-08-01 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Richmond, Virginia",0602,Medical Officer,VM-15,15,15,842312400,Physician - Psychiatrist,Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Martinez, California",0602,Medical Officer,VM-15,15,15,842323200,Physician - ACOS Geriatrics And Extended Care,Department of Veterans Affairs,2025-08-01 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Red Lake, Minnesota",0602,Medical Officer,GS-15,15,15,842326100,Supervisory Physician (Psychiatry),Department of Health and Human Services,2025-08-01 15:23:10.173,2025-12-31T23:59:59.9970,0602 - Medical Officer,GS-15
Excepted,"Buffalo, New York",0602,Medical Officer,VM-15,15,15,842406500,PHYSICIAN (RADIOLOGIST),Department of Veterans Affairs,2025-08-04 12:43:11.310,2025-12-04T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Portland, Maine",0602,Medical Officer,VN-00/15,00,15,842412100,Physician Assistant - Primary Care (Portland),Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VN-00/15
Excepted,"Portland, Maine",0602,Medical Officer,VM-00/15,00,15,842412900,Physician - Primary Care FT (Portland CBOC),Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-00/15
Excepted,"Bangor, Maine",0602,Medical Officer,VM-15,15,15,842413000,Physician - Primary Care FT (Bangor CBOC),Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Lewiston, Maine",0602,Medical Officer,VM-00/15,00,15,842413300,Physician - Primary Care FT (Lewiston CBOC),Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-12T23:59:59.9970,0602 - Medical Officer,VM-00/15
Excepted,"Buffalo, New York",0602,Medical Officer,AD-15,15,15,842415600,Physician (Pulmonologist),Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-30T23:59:59.9970,0602 - Medical Officer,AD-15
Competitive,"Fort Bragg, North Carolina",0602,Medical Officer,GP-15,15,15,842421000,Supervisory Physician (Psychiatry),Department of Defense,2025-08-04 00:00:00.000,2025-09-19T23:59:59.9970,0602 - Medical Officer,GP-15
Excepted,"Fort Wayne, Indiana",0602,Medical Officer,AD-00,00,00,842435800,Physician- Anesthesiologist,Department of Veterans Affairs,2025-08-04 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,AD-00
Excepted,"Clarksburg, West Virginia",0602,Medical Officer,VM-15,15,15,842494500,Physician (Regular Ft) Anesthesiologist,Department of Veterans Affairs,2025-08-05 00:00:00.000,2026-08-04T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Pine Ridge, South Dakota",0602,Medical Officer,GS-13/15,13,15,842499400,Physician (Hospitalist-PEDS),Department of Health and Human Services,2025-08-05 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-13/15
Competitive,"Pine Ridge, South Dakota",0602,Medical Officer,GS-13/15,13,15,842500300,Physician (Hospitalist-PEDS),Department of Health and Human Services,2025-08-05 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-13/15
Excepted,"Portsmouth, Virginia",0602,Medical Officer,VM-15,15,15,842501900,Supervisory Psychiatrist  BHIP-Outpatient Services in Portsmouth,Department of Veterans Affairs,2025-08-05 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Olympia, Washington",0602,Medical Officer,VM-15,15,15,842503900,OCA- Physician (General Medicine Service),Department of Veterans Affairs,2025-08-05 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Waco, Texas",0602,Medical Officer,AD-15,15,15,842504800,Staff Physician (P/T Psychiatrist) - EDRP Authorized,Department of Veterans Affairs,2025-08-05 10:31:28.723,2025-12-31T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Buffalo, New York",0602,Medical Officer,AD-15,15,15,842506300,Physician (Physiatrist),Department of Veterans Affairs,2025-08-05 00:00:00.000,2025-09-19T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"East Orange, New Jersey",0602,Medical Officer,VM-15,15,15,842535400,Physician - Emergency Medicine,Department of Veterans Affairs,2025-08-05 00:00:00.000,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Pine Ridge, South Dakota",0602,Medical Officer,GS-15,15,15,842545100,Physician (General Surgery),Department of Health and Human Services,2025-08-05 00:00:00.000,2025-12-31T23:59:59.9970,0602 - Medical Officer,GS-15
Competitive,"Pine Ridge, South Dakota",0602,Medical Officer,GS-15,15,15,842545300,Physician (General Surgery),Department of Health and Human Services,2025-08-05 13:22:33.500,2025-12-31T23:59:59.9970,0602 - Medical Officer,GS-15
Competitive,"Wilmington, Delaware",0602,Medical Officer,VM-00,00,00,842557100,Physician - Orthopedic Surgeon,Department of Veterans Affairs,2025-08-05 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-00
Excepted,"Wichita, Kansas",0602,Medical Officer,VM-15,15,15,842560000,Physician (Pathology and Laboratory),Department of Veterans Affairs,2025-08-20 00:00:00.000,2025-09-19T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Montgomery, Alabama",0602,Medical Officer,VM-15,15,15,842560600,Physician (FT Physiatrist),Department of Veterans Affairs,2025-08-06 00:00:00.000,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Augusta, Georgia",0602,Medical Officer,VM-15,15,15,842563000,Physician (Nephrology Section Chief),Department of Veterans Affairs,2025-08-05 14:36:06.470,2025-09-30T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Biloxi, Mississippi",0602,Medical Officer,VM-15,15,15,842563100,Physician Tele-Radiologist,Department of Veterans Affairs,2025-08-05 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Atlanta, Georgia",0602,Medical Officer,VM-15,15,15,842569100,Physician-Section Chief of Neurology,Department of Veterans Affairs,2025-08-05 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Springfield, Illinois",0602,Medical Officer,VM-15,15,15,842613200,Primary Care Physician - Springfield Medical Director,Department of Veterans Affairs,2025-08-06 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Billings, Montana",0602,Medical Officer,AD-15,15,15,842619600,Physician - Gastroenterology,Department of Veterans Affairs,2025-08-06 00:00:00.000,2025-09-30T23:59:59.9970,0602 - Medical Officer,AD-15
Excepted,"Memphis, Tennessee",0602,Medical Officer,VM-15,15,15,842622200,Physician (Primary Care),Department of Veterans Affairs,2025-08-06 00:00:00.000,2025-09-25T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Saint Cloud, Minnesota",0602,Medical Officer,VM-15,15,15,842624000,Physician - Assistant Medical Director for Primary Specialty Medicine CBOCs,Department of Veterans Affairs,2025-08-06 00:00:00.000,2025-09-22T23:59:59.9970,0602 - Medical Officer,VM-15
Excepted,"Memphis, Tennessee",0602,Medical Officer,VM-15,15,15,842626200,Physician (Primary Care-Women's Health),Department of Veterans Affairs,2025-08-06 00:00:00.000,2025-09-25T23:59:59.9970,0602 - Medical Officer,VM-15
Competitive,"Kayenta, Arizona",0602,Medical Officer,GS-15,15,15,842643100,Supervisory Physician (General Practice) - DHA,Department of Health and Human Services,2025-08-06 00:00:00.000,2025-09-26T23:59:59.9970,0602 - Medical Officer,GS-15
